,ROUNDS,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS,EVENTS,TOTAL RNDS,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,ROUNDS,AVERAGE,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS
Fabián Gómez,30.0,71.36,2110.0,30.811,30.0,9.0,14.0,9.0,1.02,"$99,587","$9,792,000",30.0,0.022000000000000002,0.391,2.7230000000000003,-2.332,18.0
Joaquin Niemann,40.0,71.373,2821.0,33.937,40.0,11.0,15.0,11.0,2.24,"$322,066","$14,382,000",40.0,-0.051,-1.4380000000000002,21.743000000000002,-23.18,28.0
Ben Silverman,30.0,71.378,2118.0,23.352,30.0,9.0,12.0,9.0,1.11,"$107,883","$9,720,000",30.0,0.165,3.635,-6.722,10.357000000000001,22.0
Beau Hossler,38.0,71.382,2672.0,40.530,38.0,11.0,18.0,11.0,2.69,"$393,582","$14,634,000",38.0,0.258,5.944,-5.395,11.335999999999999,23.0
Sam Saunders,35.0,71.385,2471.0,27.483,35.0,11.0,15.0,11.0,1.21,"$162,372","$13,446,000",35.0,-0.16,-4.474,-0.986,-3.487,28.0
Ryan Blaum,45.0,71.395,3173.0,39.789,45.0,13.0,14.0,13.0,3.68,"$558,306","$15,156,000",45.0,-0.155,-5.426,-10.534,5.1080000000000005,35.0
Francesco Molinari,16.0,71.40899999999999,1140.0,2.547,16.0,4.0,4.0,4.0,29.52,"$1,884,250","$6,383,000",16.0,0.9520000000000001,11.42,3.4,8.019,12.0
Brice Garnett,37.0,71.421,2601.0,41.563,37.0,12.0,14.0,12.0,3.12,"$496,303","$15,916,000",37.0,-0.728,-15.285,-5.608,-9.676,21.0
Branden Grace,28.0,71.436,1984.0,16.204,28.0,8.0,10.0,8.0,8.51,"$993,755","$11,671,000",28.0,0.568,7.388,9.911,-2.523,13.0
Chris Kirk,35.0,71.446,2468.0,32.593,35.0,12.0,13.0,12.0,1.69,"$234,150","$13,824,000",35.0,-0.096,-2.3890000000000002,9.131,-11.519,25.0
Cameron Tringale,28.0,71.514,1984.0,18.399,28.0,8.0,8.0,8.0,1.23,"$105,668","$8,568,000",28.0,-0.22899999999999998,-4.127,-4.753,0.626,18.0
Ryan Moore,30.0,71.527,2117.0,28.803,30.0,9.0,8.0,9.0,5.94,"$724,340","$12,204,000",30.0,1.177,22.358,13.923,8.434,19.0
Kelly Kraft,31.0,71.529,2190.0,27.385,31.0,11.0,13.0,11.0,1.89,"$259,723","$13,752,000",31.0,-0.701,-13.317,-8.391,-4.9239999999999995,19.0
Stephan Jaeger,37.0,71.536,2616.0,30.831,37.0,12.0,10.0,12.0,1.7,"$243,803","$14,346,000",37.0,-0.301,-8.116,-9.051,0.934,27.0
Bronson Burgoon,27.0,71.581,1910.0,22.695,27.0,10.0,9.0,10.0,4.37,"$551,896","$12,636,000",27.0,-0.612,-11.619000000000002,-0.23800000000000002,-11.38,19.0
Martin Trainer,32.0,71.582,2270.0,20.608,32.0,11.0,11.0,11.0,5.0,"$631,555","$12,636,000",32.0,-0.5820000000000001,-12.22,-7.76,-4.458,21.0
Kevin Na,28.0,71.58800000000001,1992.0,12.456,28.0,8.0,9.0,8.0,2.44,"$290,993","$11,923,000",28.0,-0.11699999999999999,-1.875,2.705,-4.58,16.0
Pat Perez,33.0,71.597,2338.0,24.688,33.0,10.0,15.0,10.0,4.71,"$649,697","$13,796,000",33.0,-0.10099999999999999,-1.217,-13.263,12.045,12.0
Kramer Hickok,37.0,71.59899999999999,2623.0,26.173,37.0,12.0,16.0,12.0,1.44,"$195,635","$13,608,000",37.0,-0.593,-13.633,4.155,-17.785999999999998,23.0
Jamie Lovemark,22.0,71.613,1537.0,38.483,22.0,7.0,12.0,7.0,1.66,"$145,999","$8,784,000",22.0,-0.848,-5.936,-5.939,0.003,7.0
Brandt Snedeker,39.0,71.625,2763.0,30.386,39.0,10.0,14.0,10.0,6.71,"$928,691","$13,836,000",39.0,0.634,15.207,-4.827,20.032,24.0
Anirban Lahiri,29.0,71.62899999999999,2047.0,30.228,29.0,9.0,11.0,9.0,2.03,"$231,341","$11,376,000",29.0,-0.8109999999999999,-15.414000000000001,-16.451,1.037,19.0
Sam Burns,35.0,71.632,2476.0,31.116,35.0,12.0,12.0,12.0,2.8,"$409,569","$14,616,000",35.0,-0.42700000000000005,-12.387,-20.958000000000002,8.571,29.0
Kevin Streelman,37.0,71.64399999999999,2624.0,26.834,37.0,12.0,10.0,12.0,2.57,"$381,043","$14,832,000",37.0,-0.009000000000000001,-0.265,15.74,-16.005,29.0
James Hahn,34.0,71.655,2391.0,45.253,34.0,10.0,12.0,10.0,1.24,"$159,343","$12,816,000",34.0,-0.38,-6.4670000000000005,2.148,-8.615,17.0
Hunter Mahan,36.0,71.66,2554.0,25.765,36.0,12.0,12.0,12.0,1.73,"$256,469","$14,832,000",36.0,-0.445,-12.454,-15.780999999999999,3.326,28.0
