New_Index,Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,Unnamed: 1,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
107,108,1.2873,111,Mike Lorenzo-Vera,1,available,T4,-,-2,0,12:54 PM,68,--,--,--,68
86,87,1.5671,88,Daniel Berger,2,available,T9,8,-1,-1,9,70,--,--,--,70
130,131,0.3848,435,Steve Stricker,1,available,T83,9,+4,1,7,73,--,--,--,73
102,103,1.3287,105,Jimmy Walker,1,available,T17,-,E,0,1:05 PM,70,--,--,--,70
12,13,5.3091,13,Matt Kuchar,5,available,T9,8,-1,-1,5,70,--,--,--,70
134,135,0,600,Rich Beem,1,available,T135,23,+8,3,8,75,--,--,--,75
145,146,0,600,Craig Hocknull,1,available,T150,3,+11,-1,2,82,--,--,--,82
20,21,4.003,21,Louis Oosthuizen,4,available,T17,-,E,0,1:16 PM,70,--,--,--,70
154,155,0,600,Cory Schneider,1,available,T83,8,+4,0,2:22 PM,74,--,--,--,74
71,72,1.8499,72,Joost Luiten,2,available,T48,3,+2,0,2:00 PM,72,--,--,--,72
87,88,1.5321,89,Zach Johnson,2,available,T9,32,-1,-2,5,71,--,--,--,71
155,156,0,600,Ryan Vermeer,1,available,T35,18,+1,1,11,70,--,--,--,70
128,129,0.6566,264,Padraig Harrington,1,available,T145,33,+10,5,7,75,--,--,--,75
5,6,7.5322,6,Tiger Woods,6,available,T48,3,+2,0,1:49 PM,72,--,--,--,72
131,132,0.3152,508,Vijay Singh,1,unavailable,,,,0,,,,,,
63,64,2.0553,64,Abraham Ancer,2,available,T71,3,+3,0,2:11 PM,73,--,--,--,73
19,20,4.0761,20,Webb Simpson,4,available,T48,3,+2,0,4,72,--,--,--,72
31,32,3.113,32,Alexander Noren,3,available,T71,3,+3,0,1:38 PM,73,--,--,--,73
80,81,1.6967,81,Ryan Fox,2,available,T135,9,+8,0,2:00 PM,78,--,--,--,78
47,48,2.4826,48,J.B. Holmes,3,available,T35,6,+1,0,1:49 PM,71,--,--,--,71
48,49,2.4048,49,Charles Howell III,3,available,T48,3,+2,0,1:38 PM,72,--,--,--,72
115,116,1.1614,126,Martin Trainer,1,available,T103,9,+5,0,2:11 PM,75,--,--,--,75
96,97,1.4117,98,Shaun Norris,1,available,T71,3,+3,0,1:38 PM,73,--,--,--,73
29,30,3.2859,30,Cameron Smith,4,available,T35,39,+1,-2,5,73,--,--,--,73
